query_position,candidate_count__greedy,oracle_target_recall__greedy,reranked_canonical_smiles__greedy,reranked_exact_target_identity__greedy,reranked_morgan_similarity_to_target__greedy,reranked_target_scaffold_recovery__greedy,reranked_latent_cosine_to_supplied_condition__greedy,reranked_latent_relative_l2_to_supplied_condition__greedy,candidate_count__k50,oracle_target_recall__k50,reranked_canonical_smiles__k50,reranked_exact_target_identity__k50,reranked_morgan_similarity_to_target__k50,reranked_target_scaffold_recovery__k50,reranked_latent_cosine_to_supplied_condition__k50,reranked_latent_relative_l2_to_supplied_condition__k50,target_index,target_smiles,target_hash,case
4567,1,0.0,CC(O)CS(=O)(=O)N(C)CC12CCC(CC1)C2,0.0,0.61904764,1.0,0.99796104,0.06408748,33,1.0,CC(O)CN(C)S(=O)(=O)CC12CCC(CC1)C2,1.0,1.0,1.0,0.99999994,0.00033954292,42731,CC(O)CN(C)S(=O)(=O)CC12CCC(CC1)C2,b13dfc1b43da74c68dd4b95eb5c3be85fc5536a1ae6a16ad705d0eaae88c47f8,recovered_by_candidate_search
388,1,0.0,Cc1ncsc1C(=O)NCC1CCC(NCc2snnc2Cl)C1,0.0,0.7704918,0.0,0.99803025,0.06345172,41,1.0,Cc1ncsc1C(=O)NCC1CCC(NCc2nnsc2Cl)C1,1.0,1.0,1.0,0.99999994,0.00039789983,23974,Cc1ncsc1C(=O)NCC1CCC(NCc2nnsc2Cl)C1,93670bf904da73621fd41cbe2a487d1c0e082866aba1ef7711f5cb854ada4d63,recovered_by_candidate_search
4204,1,0.0,Cc1ncc(C[NH+](C)C(C)CNC(=O)c2c[nH]c(C(N)=O)c2)o1,0.0,0.85714287,0.0,0.99981076,0.019681023,30,1.0,Cc1ncc(C[NH+](C)C(C)CNC(=O)c2cc(C(N)=O)c[nH]2)o1,1.0,1.0,1.0,0.99999994,0.0003586564,44572,Cc1ncc(C[NH+](C)C(C)CNC(=O)c2cc(C(N)=O)c[nH]2)o1,a4b8813da51fa9d65e48568ae01ae99ad2e91d587ad181285cb8f5ff9de20c5c,recovered_by_candidate_search
3827,1,0.0,O=C(CN1CC2C(C1)C2(F)F)NCC1(c2ccccc2)CCCCC1,0.0,0.85714287,0.0,0.98868686,0.15006213,34,1.0,O=C(CN1CCC2C(C1)C2(F)F)NCC1(c2ccccc2)CCCCC1,1.0,1.0,1.0,0.99999994,0.00039767494,34067,O=C(CN1CCC2C(C1)C2(F)F)NCC1(c2ccccc2)CCCCC1,3cead73f8757429aa412f2fbdd7419ce8d88f46d75410006adc433ba8956cbe0,recovered_by_candidate_search
2854,1,0.0,Cc1ccc(C(=O)N2CCCC(CNC(=O)c3ccccc3)C2)c(C)c1O,0.0,0.8679245,1.0,0.9990865,0.04318152,42,1.0,Cc1ccc(C(=O)N2CCCC(CNC(=O)c3ccccc3)C2)c(O)c1C,1.0,1.0,1.0,0.9999999,0.00054483896,49004,Cc1ccc(C(=O)N2CCCC(CNC(=O)c3ccccc3)C2)c(O)c1C,c14a753faa33adbb4bce8744b5aec0bd277895e913a7b700e5c8dcdcf3a82653,recovered_by_candidate_search
297,1,0.0,CC#CCN1CCCOC(CNC(=O)c2ccc3scnc3c2)C1,0.0,0.8730159,0.0,0.9993265,0.036694318,21,1.0,CC#CCN1CCCOC(CNC(=O)c2ccc3ncsc3c2)C1,1.0,1.0,1.0,0.9999998,0.00056470995,2653,CC#CCN1CCCOC(CNC(=O)c2ccc3ncsc3c2)C1,cf3d8866bb168d07e7322a5c158d8810ba52b882b4518b3bd4b2116d2ac99692,recovered_by_candidate_search
4753,1,0.0,CN(C(=O)C1CC12CCCCC2)C1CN(C(=O)C2CC3(CC3)C2)C1,0.0,0.5283019,0.0,0.93757725,0.38160455,50,1.0,CN(C(=O)C1CC2(CC2)C1)C1CN(C(=O)C2CCCCC2C2CC2)C1,1.0,1.0,1.0,0.99999994,0.00041807705,36786,CN(C(=O)C1CC2(CC2)C1)C1CN(C(=O)C2CCCCC2C2CC2)C1,7d7b14262ab64934db1ae433e48b83339f147578ef2969f23386e44ae36897df,recovered_by_candidate_search
6251,1,0.0,Cc1cnc(NC(C)C)nc1N1CC(=O)N(C)C(C)C1,0.0,0.45762712,0.0,0.99508405,0.09908439,40,1.0,Cc1cnc(N2CC(=O)N(C)CC2C)nc1NC(C)C,1.0,1.0,1.0,0.99999994,0.00031987342,8835,Cc1cnc(N2CC(=O)N(C)CC2C)nc1NC(C)C,6dd28b9518b0f8949b27b2f7423166ff5221699ebc99ad2e6d57f97c74c8de7c,recovered_by_candidate_search
3740,1,0.0,CCCC(NC(=O)N1CCC(O)(C(=O)NCc2ccc(F)cc2)CC1)C(=O)O,0.0,0.66101694,0.0,0.9959017,0.09066541,37,1.0,CCCC(NC(=O)NCc1ccc(F)cc1)C(=O)N1CCC(O)(C(=O)O)CC1,1.0,1.0,1.0,0.9999998,0.00058743864,18915,CCCC(NC(=O)NCc1ccc(F)cc1)C(=O)N1CCC(O)(C(=O)O)CC1,0de8a0ecdc5ff1bd7467f3bbca9dc95a4c0982dfe8a07d835dfcb2041ccc5844,recovered_by_candidate_search
7996,1,0.0,CCN(C(=O)C1CCCC1)C1CN(C(=O)C2CCCN2C)C1,0.0,0.75555557,0.0,0.9991364,0.042058025,50,1.0,CCN(C(=O)C1CCCCN1C)C1CN(C(=O)C2CCC2)C1,1.0,1.0,1.0,0.99999994,0.00039208625,40930,CCN(C(=O)C1CCCCN1C)C1CN(C(=O)C2CCC2)C1,5843d5a5d0265f54aea54c651f2ac9bc44c67484c794c948042188902333ec86,recovered_by_candidate_search
